,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
46,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2021,B,none,ecscw,4608,0,
47,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,CORE2021,C,none,ecsqaru,4602,0,
48,"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,CORE2021,B,none,,4601,1,4.0
49,Extending Database Technology,EDBT,CORE2021,A,none,edbt,4605,0,
0,European Dependable Computing Conference,EDCC,CORE2021,Unranked,none,edcc,4604,0,
1,Educational Data Mining,EDM,CORE2021,B,none,edm,4601,2,4.5
2,IEEE International Enterprise Distributed Object Computing Conference,EDOC,CORE2021,B,none,edoc,4606,0,
3,Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,CORE2021,B,none,egpgv,4607,0,
4,International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,CORE2021,B,none,egve,4607,0,
5,Engineering Interactive Computing Systems,EICS,CORE2021,Journal Published,none,eics,4608,3,5.0
6,European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,CORE2021,C,none,ejc,4605,0,
7,International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2021,B,none,ekaw,4605,3,4.3
8,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2021,B,none,emas,4602,0,
9,Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,CORE2021,C,none,index.html,4612,0,
10,Empirical Methods in Natural Language Processing,EMNLP,CORE2021,A,none,emnlp,4602,2,5.0
11,ACM Conference on Embedded Software,EMSOFT,CORE2021,Journal published,none,emsoft,4606,0,
12,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2021,B,none,enase,4612,0,
13,International Conference on Information and Communication Technologies in Tourism,ENTER,CORE2021,C,none,enter,4601,0,
14,International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,CORE2021,C,none,,4612,0,
15,Portuguese Conference on Artificial Intelligence,EPIA,CORE2021,National: Portugal,none,epia,4602,0,
16,International Conference on Conceptual Modelling,ER,CORE2021,A,none,er,4605,0,
17,European Symposium on Algorithms,ESA,CORE2021,A,none,esa,4613,1,5.0
18,European Symposium on Artificial Neural Networks,ESANN,CORE2021,B,none,esann,4611,0,
19,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2021,A*,none,esec,4612,6,5.0
20,International Symposium on Empirical Software Engineering and Measurement,ESEM,CORE2021,A,none,esem,4612,1,5.0
21,European Symposium on Programming,ESOP,CORE2021,A,none,esop,4612,1,4.0
22,European Symposium On Research In Computer Security,ESORICS,CORE2021,A,none,esorics,4604,0,
23,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,CORE2021,A,none,esws,4605,2,5.0
24,ETHICOMP Conference,ETHICOMP,CORE2021,B,none,,4608,0,
25,Eye Tracking Research and Applications,ETRA,CORE2021,B,none,etra,4608,0,
26,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,CORE2021,C,none,euc,4606,0,
27,European Conference on Multi-Agent Systems,EUMAS,CORE2021,C,none,eumas,4602,1,3.0
28,European Conference on Operations Research,EURO,CORE2021,C,none,,4602,0,
29,Euro Virtual Reality,Euro VR,CORE2021,C,none,eurovr,4607,0,
30,European Workshop on Computational Geometry,EuroCG,CORE2021,C,none,,4613,0,
31,"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,CORE2021,C,none,,4613,0,
